"","pcktsCount","pcktsLost","dteTime"
"234",1183.61,8.29,2017-01-17 17:00:00
"235",800.01,7.14,2017-01-17 18:00:00
"236",905.9,9.15,2017-01-17 19:00:00
"237",937.03,6.43,2017-01-17 20:00:00
"238",1079.52,5.12,2017-01-17 21:00:00
"239",1034.8,5.46,2017-01-17 22:00:00
"240",922.75,8.68,2017-01-17 23:00:00
"241",1132.16,4.36,2017-01-18 00:00:00
"242",904.56,7.5,2017-01-18 01:00:00
"243",808.97,7.46,2017-01-18 02:00:00
"244",1112.14,5.92,2017-01-18 03:00:00
"245",972.87,5.14,2017-01-18 04:00:00
"246",894.62,8.46,2017-01-18 05:00:00
"247",1045.81,6.89,2017-01-18 06:00:00
"248",865.79,4.4,2017-01-18 07:00:00
"249",894.26,5.7,2017-01-18 08:00:00
"250",1147.53,4.88,2017-01-18 09:00:00
"251",1013.21,6.11,2017-01-18 10:00:00
"252",1041.92,4.71,2017-01-18 11:00:00
"253",1103.84,9.34,2017-01-18 12:00:00
"254",872.01,13.57,2017-01-18 13:00:00
"255",865.08,6.44,2017-01-18 14:00:00
"256",933.56,8.66,2017-01-18 15:00:00
"257",1027.7,7.51,2017-01-18 16:00:00
"258",1087.24,5.74,2017-01-18 17:00:00
"259",834.51,6.54,2017-01-18 18:00:00
"260",999.52,11.72,2017-01-18 19:00:00
"261",1141.6,9.49,2017-01-18 20:00:00
"262",1098.6,7.79,2017-01-18 21:00:00
"263",1008.66,10.43,2017-01-18 22:00:00
"264",821.45,9.14,2017-01-18 23:00:00
"265",975.54,8.72,2017-01-19 00:00:00
"266",930.26,6.49,2017-01-19 01:00:00
"267",994.19,7.54,2017-01-19 02:00:00
"268",1154.57,6.68,2017-01-19 03:00:00
"269",1141.22,6.82,2017-01-19 04:00:00
"270",1141.31,7.19,2017-01-19 05:00:00
"271",888.03,7.56,2017-01-19 06:00:00
"272",862.86,6.55,2017-01-19 07:00:00
"273",1020.61,8.98,2017-01-19 08:00:00
"274",1149.58,7.16,2017-01-19 09:00:00
"275",1166.17,5.7,2017-01-19 10:00:00
"276",1102.69,7.71,2017-01-19 11:00:00
"277",1104.31,9.75,2017-01-19 12:00:00
"278",788.69,13.02,2017-01-19 13:00:00
"279",1025.01,10.39,2017-01-19 14:00:00
"280",931.51,14.93,2017-01-19 15:00:00
"281",866.27,13.47,2017-01-19 16:00:00
"282",1020,10.14,2017-01-19 17:00:00
"283",945.24,12.66,2017-01-19 18:00:00
"284",1102.14,9.59,2017-01-19 19:00:00
"285",977.65,8.93,2017-01-19 20:00:00
"286",1007.69,8.8,2017-01-19 21:00:00
"287",979.36,10.64,2017-01-19 22:00:00
"288",1147.45,8.19,2017-01-19 23:00:00
"289",902.13,3.92,2017-01-20 00:00:00
"290",918.92,9.91,2017-01-20 01:00:00
"291",818.17,6.31,2017-01-20 02:00:00
"292",830.45,7.14,2017-01-20 03:00:00
"293",832.38,3.59,2017-01-20 04:00:00
"294",819.07,7.4,2017-01-20 05:00:00
"295",845.37,6.79,2017-01-20 06:00:00
"296",1045.67,7.27,2017-01-20 07:00:00
"297",1097.62,4.56,2017-01-20 08:00:00
"298",871.64,5.01,2017-01-20 09:00:00
"299",869.37,5.08,2017-01-20 10:00:00
"300",959.68,4.94,2017-01-20 11:00:00
"301",1018.13,8.51,2017-01-20 12:00:00
"302",982.57,11.12,2017-01-20 13:00:00
"303",1138.76,11.88,2017-01-20 14:00:00
"304",1182.87,11.02,2017-01-20 15:00:00
"305",802.77,11.47,2017-01-20 16:00:00
"306",852.46,5.97,2017-01-20 17:00:00
"307",950.55,10.1,2017-01-20 18:00:00
"308",1134.16,8.54,2017-01-20 19:00:00
"309",938.23,10.63,2017-01-20 20:00:00
"310",870.43,7.15,2017-01-20 21:00:00
"311",1013.51,6.03,2017-01-20 22:00:00
"312",923.42,8.91,2017-01-20 23:00:00
"313",1157.01,9.03,2017-01-21 00:00:00
"314",922.7,8.45,2017-01-21 01:00:00
"315",851.18,9.06,2017-01-21 02:00:00
"316",1156.11,9.26,2017-01-21 03:00:00
"317",996.63,6.11,2017-01-21 04:00:00
"318",856.21,6.15,2017-01-21 05:00:00
"319",956.48,7.14,2017-01-21 06:00:00
"320",933.59,5.13,2017-01-21 07:00:00
"321",1170.73,6.78,2017-01-21 08:00:00
"322",984.2,4.79,2017-01-21 09:00:00
"323",1153.6,6.13,2017-01-21 10:00:00
"324",850.67,4.74,2017-01-21 11:00:00
"325",932.49,11.5,2017-01-21 12:00:00
"326",1053.79,8.72,2017-01-21 13:00:00
"327",874.11,9.92,2017-01-21 14:00:00
"328",999.6,10.52,2017-01-21 15:00:00
"329",1079.24,12.16,2017-01-21 16:00:00
"330",898.92,7.98,2017-01-21 17:00:00
"331",984.29,9.07,2017-01-21 18:00:00
"332",860.57,11.41,2017-01-21 19:00:00
"333",843.91,12.97,2017-01-21 20:00:00
"334",943.3,7.56,2017-01-21 21:00:00
"335",1145.26,7.86,2017-01-21 22:00:00
"336",860.48,7.51,2017-01-21 23:00:00
"337",819.69,8.21,2017-01-22 00:00:00
"338",800.32,6.91,2017-01-22 01:00:00
"339",835.91,7.09,2017-01-22 02:00:00
"340",1051.04,4.95,2017-01-22 03:00:00
"341",973.21,7.77,2017-01-22 04:00:00
"342",842.53,6.91,2017-01-22 05:00:00
"343",1002.17,8.88,2017-01-22 06:00:00
"344",1136.42,7.59,2017-01-22 07:00:00
"345",1061.59,6.6,2017-01-22 08:00:00
"346",1106.2,7.21,2017-01-22 09:00:00
"347",1027.27,5.21,2017-01-22 10:00:00
"348",933.17,7.66,2017-01-22 11:00:00
"349",1165.42,9.2,2017-01-22 12:00:00
"350",1071.34,13.86,2017-01-22 13:00:00
"351",1137.7,13.12,2017-01-22 14:00:00
"352",1078.57,10.58,2017-01-22 15:00:00
"353",1118.07,10.09,2017-01-22 16:00:00
"354",1115.84,6.29,2017-01-22 17:00:00
"355",920.66,11.39,2017-01-22 18:00:00
"356",834.47,8.02,2017-01-22 19:00:00
"357",794.23,12.47,2017-01-22 20:00:00
"358",924.72,8.19,2017-01-22 21:00:00
"359",1007.38,11.09,2017-01-22 22:00:00
"360",987.97,9.51,2017-01-22 23:00:00
"361",1025.2,4.61,2017-01-23 00:00:00
"362",1048.34,9.1,2017-01-23 01:00:00
"363",1002.82,9.09,2017-01-23 02:00:00
"364",851.45,5.47,2017-01-23 03:00:00
"365",989.38,4.31,2017-01-23 04:00:00
"366",838.22,5.55,2017-01-23 05:00:00
"367",1107.49,6.28,2017-01-23 06:00:00
"368",1127.19,6.13,2017-01-23 07:00:00
"369",1141.9,4.38,2017-01-23 08:00:00
"370",1052.97,5.14,2017-01-23 09:00:00
"371",921.28,3.98,2017-01-23 10:00:00
"372",972.84,3.42,2017-01-23 11:00:00
"373",1063.33,7.22,2017-01-23 12:00:00
"374",1165.81,12.49,2017-01-23 13:00:00
"375",1185.39,11.84,2017-01-23 14:00:00
"376",1153.2,11.88,2017-01-23 15:00:00
"377",1082.4,8.28,2017-01-23 16:00:00
"378",979.7,8.88,2017-01-23 17:00:00
"379",888.57,9.62,2017-01-23 18:00:00
"380",1118.84,10.41,2017-01-23 19:00:00
"381",804.65,7.91,2017-01-23 20:00:00
"382",888.88,8.45,2017-01-23 21:00:00
"383",806.05,5.46,2017-01-23 22:00:00
"384",970.51,7.02,2017-01-23 23:00:00
"385",901.7,5,2017-01-24 00:00:00
"386",1112.87,5.05,2017-01-24 01:00:00
"387",839.27,5.93,2017-01-24 02:00:00
"388",961.54,7.13,2017-01-24 03:00:00
"389",853.2,7.69,2017-01-24 04:00:00
"390",1037.13,6.62,2017-01-24 05:00:00
"391",1098.4,8.42,2017-01-24 06:00:00
"392",962.74,7.28,2017-01-24 07:00:00
"393",946.62,7.36,2017-01-24 08:00:00
"394",938.98,4.15,2017-01-24 09:00:00
"395",814.85,6.52,2017-01-24 10:00:00
"396",869.59,4.64,2017-01-24 11:00:00
"397",828.89,7.94,2017-01-24 12:00:00
"398",1100.93,10.12,2017-01-24 13:00:00
"399",1183.99,6.61,2017-01-24 14:00:00
"400",798.27,9.98,2017-01-24 15:00:00
"401",1063.25,6.85,2017-01-24 16:00:00
"402",1171.69,9.41,2017-01-24 17:00:00
"403",1119.82,9.68,2017-01-24 18:00:00
"404",1035.38,7.72,2017-01-24 19:00:00
"405",952.57,12.1,2017-01-24 20:00:00
"406",1097.27,5.99,2017-01-24 21:00:00
"407",954.68,8.37,2017-01-24 22:00:00
"408",999.6,6.66,2017-01-24 23:00:00
"409",1033.34,6.85,2017-01-25 00:00:00
"410",995.36,11.04,2017-01-25 01:00:00
"411",810.17,10.94,2017-01-25 02:00:00
"412",998.04,8.24,2017-01-25 03:00:00
"413",1052.18,7.13,2017-01-25 04:00:00
"414",884.46,5.68,2017-01-25 05:00:00
"415",1038.14,7.63,2017-01-25 06:00:00
"416",1111.35,5.4,2017-01-25 07:00:00
"417",1040.05,9.38,2017-01-25 08:00:00
"418",921.6,5.36,2017-01-25 09:00:00
"419",1035.23,4.79,2017-01-25 10:00:00
"420",1164.04,5.82,2017-01-25 11:00:00
"421",874.9,11.47,2017-01-25 12:00:00
"422",1152.95,10.76,2017-01-25 13:00:00
"423",1146.3,12.64,2017-01-25 14:00:00
"424",923.63,13.21,2017-01-25 15:00:00
"425",924.63,7.98,2017-01-25 16:00:00
"426",1034.47,5.76,2017-01-25 17:00:00
"427",985.87,11.55,2017-01-25 18:00:00
"428",1030.13,7.82,2017-01-25 19:00:00
"429",797.34,13.86,2017-01-25 20:00:00
"430",1109.8,6.33,2017-01-25 21:00:00
"431",898.31,6.94,2017-01-25 22:00:00
"432",929.21,9.75,2017-01-25 23:00:00
"433",1040.1,5.53,2017-01-26 00:00:00
"434",916.13,5.88,2017-01-26 01:00:00
"435",1166.05,6.6,2017-01-26 02:00:00
"436",1038.79,5.66,2017-01-26 03:00:00
"437",1018.32,4.5,2017-01-26 04:00:00
"438",1133.16,6.67,2017-01-26 05:00:00
"439",1123.34,6.94,2017-01-26 06:00:00
"440",988.95,7.07,2017-01-26 07:00:00
"441",1017.7,5.72,2017-01-26 08:00:00
"442",910.56,4.57,2017-01-26 09:00:00
"443",805.2,5.58,2017-01-26 10:00:00
"444",826.79,6.63,2017-01-26 11:00:00
"445",1032.36,6.04,2017-01-26 12:00:00
"446",857.75,7.12,2017-01-26 13:00:00
"447",1051.96,6.08,2017-01-26 14:00:00
"448",997,12.31,2017-01-26 15:00:00
"449",960.15,9.62,2017-01-26 16:00:00
"450",1087.38,4.95,2017-01-26 17:00:00
"451",1057.48,9.21,2017-01-26 18:00:00
"452",1023.36,6.89,2017-01-26 19:00:00
"453",876.51,11.84,2017-01-26 20:00:00
"454",809.82,4.38,2017-01-26 21:00:00
"455",1002.41,9.41,2017-01-26 22:00:00
"456",1131.09,5.38,2017-01-26 23:00:00
"457",1040.39,8.38,2017-01-27 00:00:00
"458",820.75,7.39,2017-01-27 01:00:00
"459",836.75,7.08,2017-01-27 02:00:00
"460",983.85,5.3,2017-01-27 03:00:00
"461",811.33,7.11,2017-01-27 04:00:00
"462",1126.37,8.46,2017-01-27 05:00:00
"463",1031.1,8.72,2017-01-27 06:00:00
"464",904.49,7.17,2017-01-27 07:00:00
"465",825.09,4.72,2017-01-27 08:00:00
"466",1037.34,4.75,2017-01-27 09:00:00
"467",994.24,6.26,2017-01-27 10:00:00
"468",1085.84,6.43,2017-01-27 11:00:00
"469",884.83,9.94,2017-01-27 12:00:00
"470",1113.14,10.71,2017-01-27 13:00:00
"471",1063.6,6.44,2017-01-27 14:00:00
"472",802.96,9.67,2017-01-27 15:00:00
"473",1154.87,10.45,2017-01-27 16:00:00
"474",920.86,6.45,2017-01-27 17:00:00
"475",982.96,9.78,2017-01-27 18:00:00
"476",805.56,12.46,2017-01-27 19:00:00
"477",800.86,7.92,2017-01-27 20:00:00
"478",804.93,4.58,2017-01-27 21:00:00
"479",783.08,10.22,2017-01-27 22:00:00
"480",1122.43,9.97,2017-01-27 23:00:00
"481",820.9,9.45,2017-01-28 00:00:00
"482",996.25,9.18,2017-01-28 01:00:00
"483",1173.84,9.86,2017-01-28 02:00:00
"484",1065.93,6.99,2017-01-28 03:00:00
"485",843.13,8.45,2017-01-28 04:00:00
"486",1154.68,7.15,2017-01-28 05:00:00
"487",1066.28,7.82,2017-01-28 06:00:00
"488",953.74,4.63,2017-01-28 07:00:00
"489",885.27,4.87,2017-01-28 08:00:00
"490",796.03,5.97,2017-01-28 09:00:00
"491",1101.38,6.13,2017-01-28 10:00:00
"492",992.61,6.25,2017-01-28 11:00:00
"493",1113.36,6.88,2017-01-28 12:00:00
"494",1037.36,8.74,2017-01-28 13:00:00
"495",952.89,8.47,2017-01-28 14:00:00
"496",1126.5,8.11,2017-01-28 15:00:00
"497",895.56,12.94,2017-01-28 16:00:00
"498",826.06,9.41,2017-01-28 17:00:00
"499",890.81,9.07,2017-01-28 18:00:00
"500",939.09,11.32,2017-01-28 19:00:00
"501",862.35,13.45,2017-01-28 20:00:00
"502",788.55,7.44,2017-01-28 21:00:00
"503",1143.06,6.64,2017-01-28 22:00:00
"504",1104.36,8.05,2017-01-28 23:00:00
"505",1118.39,3.81,2017-01-29 00:00:00
"506",990.73,4.9,2017-01-29 01:00:00
"507",949.17,7.64,2017-01-29 02:00:00
"508",872.64,8.02,2017-01-29 03:00:00
"509",792.2,4.1,2017-01-29 04:00:00
"510",1049.95,6.86,2017-01-29 05:00:00
"511",859.1,5.73,2017-01-29 06:00:00
"512",1107.09,5.62,2017-01-29 07:00:00
"513",1042.9,6.89,2017-01-29 08:00:00
"514",1018.19,4.54,2017-01-29 09:00:00
"515",831.82,3.57,2017-01-29 10:00:00
"516",1171.32,7.58,2017-01-29 11:00:00
"517",1111.83,7.51,2017-01-29 12:00:00
"518",952.65,6.74,2017-01-29 13:00:00
"519",903.92,11.6,2017-01-29 14:00:00
"520",1075.85,12.09,2017-01-29 15:00:00
"521",928.9,5.99,2017-01-29 16:00:00
"522",1091.49,5.86,2017-01-29 17:00:00
"523",890.47,8.14,2017-01-29 18:00:00
"524",1014.1,9.61,2017-01-29 19:00:00
"525",1081.9,11.43,2017-01-29 20:00:00
"526",1058.13,8.66,2017-01-29 21:00:00
"527",1099.46,7.6,2017-01-29 22:00:00
"528",936.91,5.68,2017-01-29 23:00:00
"529",998.28,7.97,2017-01-30 00:00:00
"530",1155.29,6.61,2017-01-30 01:00:00
"531",1025.04,5.49,2017-01-30 02:00:00
"532",1096.12,5.47,2017-01-30 03:00:00
"533",907.81,6.34,2017-01-30 04:00:00
"534",1083.88,4.73,2017-01-30 05:00:00
"535",1048.56,4.89,2017-01-30 06:00:00
"536",1153.16,6.24,2017-01-30 07:00:00
"537",1072.13,6.29,2017-01-30 08:00:00
"538",1114.54,4.29,2017-01-30 09:00:00
"539",1074.4,5.87,2017-01-30 10:00:00
"540",959.13,7.87,2017-01-30 11:00:00
"541",1000.48,10.81,2017-01-30 12:00:00
"542",1095.89,13.29,2017-01-30 13:00:00
"543",839.14,12.62,2017-01-30 14:00:00
"544",933.69,8.21,2017-01-30 15:00:00
"545",883.96,9.77,2017-01-30 16:00:00
"546",979.94,5.1,2017-01-30 17:00:00
"547",970.06,9.99,2017-01-30 18:00:00
"548",800.15,6.77,2017-01-30 19:00:00
"549",871.68,10.59,2017-01-30 20:00:00
"550",1087.65,4.9,2017-01-30 21:00:00
"551",821.82,6.77,2017-01-30 22:00:00
"552",1022.2,6.39,2017-01-30 23:00:00
"553",959.63,8.24,2017-01-31 00:00:00
"554",1013.93,9.97,2017-01-31 01:00:00
"555",802.28,10.14,2017-01-31 02:00:00
"556",1052.43,8.26,2017-01-31 03:00:00
"557",875.06,6.35,2017-01-31 04:00:00
"558",813.49,8.09,2017-01-31 05:00:00
"559",871.7,8.83,2017-01-31 06:00:00
"560",918.11,6.51,2017-01-31 07:00:00
"561",883.45,8.94,2017-01-31 08:00:00
"562",1116.17,6.14,2017-01-31 09:00:00
"563",1183.48,6.84,2017-01-31 10:00:00
"564",857.25,6.74,2017-01-31 11:00:00
"565",966.95,8.48,2017-01-31 12:00:00
"566",979,7.57,2017-01-31 13:00:00
"567",1127.95,11.37,2017-01-31 14:00:00
"568",1143.38,11.95,2017-01-31 15:00:00
"569",1027.12,13.61,2017-01-31 16:00:00
